Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACOR,Acorda Therapeutics Inc. Common Stock,$3.65,-0.45,-10.976%,40604137.00,United States,2006,788087,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,Aberdeen Income Credit Strategies Fund Common Shares,$11.35,0.03,0.265%,197907010.00,United States,2011,127597,Finance,Investment Managers
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$26.85,0.01,0.037%,,United States,,2057,,
ACQR,Independence Holdings Corp. Class A Ordinary Share,$9.707,0.012,0.124%,601723680.00,United States,2021,2400,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,$9.97,0.02,0.201%,0.00,United States,2021,23245,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,$1.20,-0.10,-7.692%,0.00,United States,2021,200,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,$17.46,-0.21,-1.188%,161512874.00,United States,,24079,Consumer Services,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$25.25,-0.05,-0.198%,,United States,,31871,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$25.16,-0.02,-0.079%,,United States,,11678,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,$14.63,0.07,0.481%,687636641.00,United States,2012,267305,Consumer Services,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,$14.90,0.14,0.949%,881329174.00,United States,2015,426638,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$1.24,0.04,3.333%,147687719.00,United States,2011,1121506,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A Common Stock,$0.4706,-0.0004,-0.085%,45597628.00,Canada,,2636139,Health Care,Major Pharmaceuticals
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,$9.72,0.01,0.103%,334732500.00,United States,2021,11162,,
ACTDU,ArcLight Clean Transition Corp. II Unit,$9.98,0.00,0.00%,0.00,United States,2021,499,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,$1.23,0.0072,0.589%,0.00,United States,2021,8638,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$5.92,0.11,1.893%,291734362.00,United States,,120229,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,$40.36,0.29,0.724%,140595150.00,United States,1988,19166,Consumer Durables,Home Furnishings
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$35.11,0.34,0.978%,363526131.00,United States,2015,21387,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,$23.71,-0.24,-1.002%,3663900349.00,United States,2021,133023,Technology,EDP Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$4.86,-0.03,-0.613%,48192533.00,United States,2021,98479,,
ACY,AeroCentury Corp. Common Stock,$23.00,-4.18,-15.379%,35555332.00,United States,,432388,Technology,Diversified Commercial Services
ADAG,Adagene Inc. American Depositary Shares,$17.41,-1.80,-9.37%,947058438.00,China,2021,23767,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$3.49,-0.04,-1.133%,542685996.00,United Kingdom,2015,417213,Health Care,Major Pharmaceuticals
ADBE,Adobe Inc. Common Stock,$631.38,-0.70,-0.111%,300789432000.00,United States,1986,1127719,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,$74.50,-0.88,-1.167%,5134712244.00,United States,,544479,Consumer Services,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA Common Shares,$25.78,1.34,5.483%,2017800600.00,,2020,259875,Health Care,Major Pharmaceuticals
ADER,26 Capital Acquisition Corp. Class A Common Stock,$9.69,0.00,0.00%,333093750.00,United States,2021,204,,
ADERU,26 Capital Acquisition Corp. Unit,$10.08,-0.02,-0.198%,0.00,United States,2021,109,,
ADERW,26 Capital Acquisition Corp. Warrant,$0.99,0.08,8.791%,0.00,United States,2021,84451,,
ADES,Advanced Emissions Solutions Inc. Common Stock,$7.61,-0.10,-1.297%,143491169.00,United States,,72239,Energy,Coal Mining
